release_date,popularity,vote_count,genre,productions,imdb_rating,director,casts
2015,37.112,14077,action adventure science-fiction fantasy,truenorth-productions lucasfilm-ltd. bad-robot,7.9,j.j.-abrams,daisy-ridley john-boyega oscar-isaac
1997,37.074,16434,drama romance,paramount lightstorm-entertainment 20th-century-fox,7.8,james-cameron,leonardo-dicaprio kate-winslet billy-zane
2020,37.024,95,documentary music,spheeris-films-inc.,7.6,penelope-spheeris,alice-bag-band black-flag catholic-discipline
2020,37.004,361,horror mystery,ghost-house-pictures,4.2,nicolas-pesce,tara-westwood junko-bailey david-lawrence-brown
2017,36.889,12110,romance family animation fantasy,walt-disney-animation-studios walt-disney-pictures silver-screen-partners-iv,8.0,unknown,paige-o'hara robby-benson jesse-corti
2015,36.889,5124,romance fantasy family drama,walt-disney-pictures genre-films beagle-pug-films allison-shearmur-productions,6.9,kenneth-branagh,lily-james cate-blanchett richard-madden
2014,36.63,4289,horror thriller,universal-pictures why-not-productions platinum-dunes blumhouse-productions 5150-action,6.4,james-demonaco,frank-grillo carmen-ejogo zach-gilford
2010,36.584,133,action adventure animation horror,dong-woo-animation,6.6,unknown,graham-mctavish vanessa-branch steve-blum
2019,36.579,1942,horror action comedy,pariah columbia-pictures sony-pictures,6.7,ruben-fleischer,woody-harrelson jesse-eisenberg emma-stone
2017,36.563,8719,action adventure fantasy science-fiction,dc-comics dc-entertainment ratpac-dune-entertainment cruel-&-unusual-films atlas-entertainment lensbern-productions dune-entertainment warner-bros.-pictures dc-films the-canadian-film-or-video-production-tax-credit-(cptc) syncopy,6.4,zack-snyder,ben-affleck gal-gadot jason-momoa
2019,36.267,1748,action thriller,skydance-media jerry-bruckheimer-films alibaba-pictures-group fosun-group-forever-pictures,5.7,ang-lee,will-smith mary-elizabeth-winstead clive-owen
2016,36.18,11993,horror thriller,universal-pictures blinding-edge-pictures blumhouse-productions,7.3,m.-night-shyamalan,james-mcavoy anya-taylor-joy haley-lu-richardson
2020,35.972,59,horror thriller,amblin-entertainment dreamworks-pictures universal-pictures vertigo-entertainment,3.8,floria-sigismondi,mackenzie-davis finn-wolfhard brooklynn-prince
2018,35.911,6394,adventure fantasy family,warner-bros.-pictures heyday-films,6.6,david-yates,eddie-redmayne katherine-waterston dan-fogler
2013,35.881,14617,crime drama comedy,emjag-productions paramount red-granite-pictures appian-way sikelia-productions,8.2,martin-scorsese,leonardo-dicaprio jonah-hill margot-robbie
2002,35.833,14175,adventure fantasy action,new-line-cinema wingnut-films the-saul-zaentz-company,8.7,peter-jackson,elijah-wood ian-mckellen viggo-mortensen
1996,35.827,6285,drama crime,channel-four-films noel-gay-motion-picture-company figment-films miramax film4-productions,8.1,danny-boyle,ewan-mcgregor ewen-bremner jonny-lee-miller
2015,35.825,5516,crime action science-fiction,columbia-pictures mrc lstar-capital simon-kinberg-productions genre-films alpha-core ollin-studio sony-pictures,6.8,neill-blomkamp,sharlto-copley dev-patel hugh-jackman
2003,35.808,14987,adventure fantasy action,new-line-cinema wingnut-films the-saul-zaentz-company,8.9,peter-jackson,elijah-wood viggo-mortensen ian-mckellen
2006,35.753,10619,adventure fantasy action,walt-disney-pictures jerry-bruckheimer-films second-mate-productions,7.3,gore-verbinski,johnny-depp orlando-bloom keira-knightley
2003,35.713,1,comedy drama romance,unknown,6.4,haranath-chakraborty,kaushik-bhattacharya nimu-bhowmick moushumi-chatterjee
2014,35.639,7692,war drama action,huayi-brothers-media columbia-pictures qed-international lstar-capital le-grisbi-productions crave-films sony-pictures,7.6,david-ayer,brad-pitt shia-labeouf logan-lerman
2015,35.587,7342,drama romance thriller,focus-features michael-de-luca-productions trigger-street-productions,4.1,sam-taylor-johnson,dakota-johnson jamie-dornan jennifer-ehle
2009,35.403,309,science-fiction thriller drama crime,after-dark-films benderspink filmengine,5.6,seth-grossman,chris-carmack rachel-miner melissa-jones
1988,35.367,4186,fantasy animation family,studio-ghibli nibariki tokuma-japan-communications-co.-ltd.,8.2,hayao-miyazaki,hitoshi-takagi noriko-hidaka chika-sakamoto
2020,35.267,232,science-fiction,unknown,6.7,hugo-keijzer,helen-baranova ivan-shvedoff jameel-arsheed
2016,35.255,5225,romance drama,la-cinéfacture rt-features frenesy-film-company water's-end-productions m.y.r.a.-entertainment memento-films-international ministero-per-i-beni-e-le-attività-culturali,7.9,luca-guadagnino,armie-hammer timothée-chalamet michael-stuhlbarg
1992,35.184,7599,adventure fantasy romance comedy family,walt-disney-pictures lin-pictures rideback marc-platt-productions,7.0,guy-ritchie,will-smith mena-massoud naomi-scott
1994,35.093,11952,adventure family,walt-disney-pictures fairview-entertainment,6.9,jon-favreau,donald-glover beyoncé seth-rogen
2015,35.017,5110,adventure family mystery science-fiction,babieka walt-disney-pictures a113,6.4,brad-bird,george-clooney britt-robertson hugh-laurie
2012,34.902,13243,adventure fantasy action,warner-bros.-pictures wingnut-films new-line-cinema metro-goldwyn-mayer,7.8,peter-jackson,martin-freeman ian-mckellen richard-armitage
2004,34.889,2900,action drama thriller,epsilon-motion-pictures fox-2000-pictures regency-enterprises new-regency-pictures scott-free-productions,7.7,tony-scott,denzel-washington christopher-walken dakota-fanning
2018,34.798,6735,action adventure animation science-fiction comedy,columbia-pictures sony-pictures-animation marvel-entertainment arad-productions lord-miller pascal-pictures sony-pictures,8.4,unknown,shameik-moore jake-johnson hailee-steinfeld
2018,34.79,8315,science-fiction action,avi-arad-productions matt-tolmach-productions pascal-pictures marvel-entertainment tencent-pictures,6.7,ruben-fleischer,tom-hardy michelle-williams riz-ahmed
2015,34.647,1877,action drama thriller,ratpac-dune-entertainment vertigo-entertainment energy-entertainment,6.6,jaume-collet-serra,liam-neeson ed-harris joel-kinnaman
2001,34.621,379,action animation science-fiction,tristar-pictures bandai-visual destination-films sunrise emotion bones,7.9,unknown,beau-billingslea melissa-fahn nicholas-guest
2018,34.439,4630,action science-fiction,gotham-group temple-hill-entertainment 20th-century-fox,6.2,wes-ball,dylan-o'brien ki-hong-lee kaya-scodelario
1994,34.306999999999995,18003,thriller crime,miramax a-band-apart jersey-films,8.9,quentin-tarantino,john-travolta uma-thurman samuel-l.-jackson
2019,34.264,905,action adventure comedy,sony-pictures columbia-pictures brownstone-productions 2.0-entertainment,4.7,elizabeth-banks,kristen-stewart naomi-scott ella-balinska
2019,34.229,169,animation fantasy adventure action family,dreamworks-animation,7.3,tim-johnson,jay-baruchel america-ferrera craig-ferguson
2001,34.204,10170,adventure animation comedy family fantasy,dreamworks-animation pacific-data-images dreamworks-pictures,7.8,unknown,mike-myers eddie-murphy cameron-diaz
2003,34.146,13179,animation family,pixar,8.1,unknown,albert-brooks ellen-degeneres alexander-gould
2013,34.094,11572,action adventure fantasy,marvel-studios,6.9,alan-taylor,chris-hemsworth natalie-portman tom-hiddleston
2018,33.926,5038,adventure science-fiction,lucasfilm-ltd. walt-disney-pictures allison-shearmur-productions imagine-entertainment,6.9,ron-howard,alden-ehrenreich woody-harrelson emilia-clarke
1991,33.851,6626,romance family animation fantasy,walt-disney-animation-studios walt-disney-pictures silver-screen-partners-iv,8.0,unknown,paige-o'hara robby-benson jesse-corti
2019,33.843,2312,science-fiction action,legendary-entertainment warner-bros.-pictures huahua-media toho-company ltd.,6.0,michael-dougherty,kyle-chandler vera-farmiga millie-bobby-brown
2019,33.811,477,drama romance,lilies-films arte-france-cinéma hold-up-films canal+ ciné+ arte cinécap-2 la-région-île-de-france centre-national-du-cinéma-et-de-l'image-animée,8.1,céline-sciamma,noémie-merlant adèle-haenel luàna-bajrami
2019,33.626999999999995,3514,action adventure fantasy,legendary-entertainment nintendo the-pokémon-company toho-company ltd. warner-bros.-pictures,6.6,rob-letterman,ryan-reynolds justice-smith kathryn-newton
1991,33.603,7788,action thriller science-fiction,t2-productions lightstorm-entertainment pacific-western carolco-pictures tristar-pictures studiocanal,8.5,james-cameron,arnold-schwarzenegger linda-hamilton edward-furlong
1982,33.596,8726,science-fiction drama thriller,shaw-brothers the-ladd-company warner-bros.-pictures,8.1,ridley-scott,harrison-ford rutger-hauer sean-young
2010,33.542,14028,adventure action science-fiction,marvel-studios paramount,7.0,jon-favreau,robert-downey-jr. mickey-rourke gwyneth-paltrow
1997,33.295,9190,action adventure comedy science-fiction,parkes+macdonald-image-nation amblin-entertainment columbia-pictures sony-pictures,7.3,barry-sonnenfeld,tommy-lee-jones will-smith linda-fiorentino
2014,33.289,11730,history drama thriller war,bristol-automotive black-bear-pictures,8.0,morten-tyldum,benedict-cumberbatch keira-knightley matthew-goode
2014,33.276,9007,drama comedy,tsg-entertainment worldview-entertainment new-regency-pictures m-productions le-grisbi-productions,7.7,alejandro-g.-iñárritu,michael-keaton zach-galifianakis edward-norton
1974,33.181,6917,drama crime,paramount the-coppola-company,9.0,francis-ford-coppola,al-pacino robert-de-niro robert-duvall
1986,33.156,8,comedy,mount-olympus-productions,3.8,steve-carver,scott-strader perry-lang mariska-hargitay
2011,32.997,2430,drama romance,color-force film4-productions,7.0,lone-scherfig,anne-hathaway jim-sturgess patricia-clarkson
2018,32.993,44,animation adventure fantasy,white-fox kadokawa,6.6,unknown,unknown
2014,32.847,4359,action war fantasy,legendary-entertainment hollywood-gang-productions atmosphere-entertainment-mm nimar-studios warner-bros.-pictures cruel-&-unusual-films,6.2,noam-murro,sullivan-stapleton eva-green lena-headey
2020,32.843,7,drama,höhere-schule-für-gestaltung,6.4,andrea-staka,nebojsa-glogovac
1980,32.822,10494,horror thriller,hawk-films peregrine warner-bros.-pictures producers-circle,8.4,stanley-kubrick,jack-nicholson shelley-duvall danny-lloyd
2010,32.728,1734,romance drama thriller crime,hwy61 lionsgate fidélité-films,7.4,paul-haggis,russell-crowe elizabeth-banks liam-neeson
2012,32.71,9278,animation adventure comedy family action fantasy,pixar,7.1,unknown,kelly-macdonald billy-connolly emma-thompson
2019,32.696,398,action drama history,mandarin-motion-pictures-limited shanghai-bona mandarin-films-distribution-co.,7.1,wilson-yip,donnie-yen scott-adkins danny-kwok-kwan-chan
1999,32.69,18664,drama,regency-enterprises fox-2000-pictures taurus-film atman-entertainment knickerbocker-films 20th-century-fox the-linson-company,8.8,david-fincher,brad-pitt edward-norton meat-loaf
2018,32.673,7607,horror drama science-fiction,sunday-night platinum-dunes paramount,7.5,john-krasinski,emily-blunt john-krasinski millicent-simmonds
2019,32.644,1517,crime thriller drama comedy,sikelia-productions elara-pictures scott-rudin-productions iac-films a24,7.5,unknown,adam-sandler julia-fox idina-menzel
2001,32.625,12298,animation comedy family,pixar walt-disney-pictures,8.0,unknown,billy-crystal john-goodman mary-gibbs
2016,32.608000000000004,11862,drama science-fiction mystery,filmnation-entertainment lava-bear-films reliance-entertainment xenolinguistics 21-laps-entertainment,7.9,denis-villeneuve,amy-adams jeremy-renner forest-whitaker
2017,32.519,8436,drama fantasy romance,double-dare-you-productions fox-searchlight-pictures bull-productions tsg-entertainment,7.3,guillermo-del-toro,sally-hawkins octavia-spencer michael-shannon
2019,32.514,673,animation adventure comedy family,dreamworks-animation pearl-studio universal-pictures,7.0,unknown,chloe-bennet albert-tsai tenzing-norgay-trainor
2014,32.46,9539,fantasy adventure action family romance,walt-disney-pictures roth-films,7.0,robert-stromberg,angelina-jolie elle-fanning sharlto-copley
2020,32.453,127,comedy drama romance,bcdf-pictures gotham-group hahnscape-entertainment walt-disney-pictures,6.2,julia-hart,grace-vanderwaal graham-verchere giancarlo-esposito
1993,32.452,9366,drama history war,universal-pictures amblin-entertainment,8.9,steven-spielberg,liam-neeson ralph-fiennes ben-kingsley
2015,32.28,2048,science-fiction mystery thriller,ram-bergman-productions endgame-entertainment,6.5,tarsem-singh,ryan-reynolds natalie-martinez matthew-goode
1985,32.26,12658,adventure comedy science-fiction family,u-drive-productions universal-pictures amblin-entertainment,8.5,robert-zemeckis,michael-j.-fox christopher-lloyd lea-thompson
2017,32.243,10748,animation family comedy adventure fantasy,pixar walt-disney-pictures,8.4,unknown,anthony-gonzalez gael-garcía-bernal benjamin-bratt
1979,32.235,8756,horror science-fiction,brandywine-productions 20th-century-fox,8.4,ridley-scott,sigourney-weaver tom-skerritt john-hurt
2019,32.192,515,drama comedy history,davis-entertainment,7.3,craig-brewer,eddie-murphy keegan-michael-key mike-epps
2007,32.143,10295,drama horror action thriller science-fiction,village-roadshow-pictures weed-road-pictures original-film warner-bros.-pictures heyday-films overbrook-entertainment,7.2,francis-lawrence,will-smith alice-braga charlie-tahan
2018,32.102,3566,horror mystery thriller,new-line-cinema atomic-monster the-safran-company,5.3,corin-hardy,demián-bichir taissa-farmiga jonas-bloquet
2011,32.055,9618,adventure action fantasy,walt-disney-pictures jerry-bruckheimer-films moving-picture-company,6.6,rob-marshall,johnny-depp penélope-cruz ian-mcshane
2018,32.043,5852,drama comedy,participant-media universal-pictures,8.2,peter-farrelly,viggo-mortensen mahershala-ali linda-cardellini
2019,31.999,4619,action comedy fantasy,dc-entertainment dc-comics new-line-cinema warner-bros.-pictures the-safran-company seven-bucks-productions dc-films,7.1,david-f.-sandberg,zachary-levi mark-strong asher-angel
1994,31.912,6315,romance comedy crime fantasy,dark-horse-entertainment new-line-cinema,6.9,chuck-russell,jim-carrey cameron-diaz peter-riegert
2014,31.856,5681,thriller action crime,lonetree-entertainment columbia-pictures village-roadshow-pictures escape-artists lstar-capital mace-neufeld-productions,7.2,antoine-fuqua,denzel-washington marton-csokas chloë-grace-moretz
2016,31.786,13596,adventure family fantasy,heyday-films warner-bros.-pictures,7.3,david-yates,eddie-redmayne katherine-waterston alison-sudol
2019,31.783,1097,drama fantasy mystery horror,a24 rt-features new-regency-pictures parts-and-labor maiden-voyage-pictures,7.6,robert-eggers,robert-pattinson willem-dafoe valeriia-karaman
2019,31.698,1826,action thriller comedy,skydance-media bay-films,6.1,michael-bay,ryan-reynolds mélanie-laurent manuel-garcia-rulfo
2016,31.599,13018,action adventure fantasy,dc-comics dc-entertainment warner-bros.-pictures zak-productions ratpac-dune-entertainment atlas-entertainment cruel-&-unusual-films,6.4,zack-snyder,ben-affleck henry-cavill amy-adams
2019,31.57800000000001,2671,drama romance,calmaple-films wattpad offspring-entertainment,5.4,jenny-gage,josephine-langford hero-fiennes-tiffin khadijha-red-thunder
